iter	Passed	Remaining
0	0	83
1	2	117
2	4	129
3	5	132
4	7	140
5	8	133
6	9	131
7	11	129
8	12	129
9	14	127
10	15	126
11	17	125
12	19	128
13	20	128
14	22	129
15	24	128
16	26	130
17	27	126
18	29	124
19	30	122
20	31	120
21	33	119
22	35	117
23	36	115
24	37	113
25	38	110
26	40	108
27	41	106
28	42	104
29	43	102
30	45	100
31	46	98
32	48	98
33	50	97
34	51	96
35	52	94
36	54	92
37	55	90
38	57	89
39	58	87
40	60	86
41	60	83
42	61	81
43	63	80
44	64	78
45	65	76
46	66	75
47	67	73
48	68	71
49	69	69
50	70	67
51	71	66
52	72	64
53	73	62
54	74	60
55	75	59
56	76	58
57	77	56
58	78	54
59	80	53
60	81	52
61	82	50
62	83	49
63	84	47
64	85	46
65	86	44
66	87	42
67	88	41
68	88	39
69	89	38
70	90	36
71	91	35
72	91	33
73	92	32
74	93	31
75	93	29
76	94	28
77	94	26
78	95	25
79	96	24
80	96	22
81	97	21
82	98	20
83	98	18
84	99	17
85	99	16
86	100	15
87	101	13
88	101	12
89	102	11
90	103	10
91	103	9
92	104	7
93	104	6
94	105	5
95	106	4
96	106	3
97	107	2
98	107	1
99	108	0
