iter	Passed	Remaining
0	0	797
1	1	817
2	2	771
3	3	751
4	3	763
5	5	843
6	6	905
7	7	873
8	7	850
9	8	826
10	9	809
11	9	799
12	10	787
13	11	778
14	11	770
15	12	765
16	13	757
17	14	786
18	15	780
19	15	782
20	16	779
21	17	776
22	18	773
23	18	769
24	20	794
25	21	787
26	21	782
27	22	779
28	23	775
29	23	770
30	24	764
31	25	760
32	25	756
33	26	752
34	27	748
35	27	744
36	28	741
37	29	745
38	31	763
39	32	777
40	33	773
41	33	769
42	34	765
43	35	761
44	35	759
45	36	755
46	37	751
47	37	752
48	38	750
49	39	747
50	40	744
51	40	742
52	41	738
53	42	736
54	42	732
55	43	729
56	44	729
57	44	727
58	45	723
59	46	720
60	47	729
61	48	727
62	48	724
63	49	721
64	49	719
65	50	718
66	51	716
67	52	715
68	52	714
69	53	717
70	54	716
71	55	713
72	56	711
73	56	709
74	57	708
75	58	711
76	59	711
77	60	710
78	60	710
79	61	708
80	62	706
81	62	704
82	63	699
83	63	697
84	64	695
85	65	693
86	66	693
87	66	691
88	67	690
89	68	688
90	68	686
91	69	684
92	70	682
93	70	680
94	71	677
95	71	675
96	72	672
97	72	670
98	73	668
99	73	665
100	74	663
101	75	660
102	75	659
103	76	658
104	77	656
105	77	656
106	78	654
107	78	652
108	79	650
109	80	649
110	80	647
111	81	644
112	81	641
113	82	639
114	82	636
115	83	633
116	83	632
117	84	631
118	85	630
119	85	628
120	86	626
121	87	628
122	87	627
123	88	626
124	89	626
125	90	625
126	90	623
127	91	625
128	92	625
129	93	626
130	94	624
131	94	623
132	95	621
133	95	620
134	96	618
135	97	619
136	98	619
137	99	618
138	99	617
139	100	619
140	101	617
141	101	614
142	102	612
143	102	609
144	103	607
145	103	605
146	104	604
147	104	603
148	105	601
149	106	600
150	106	598
151	106	596
152	107	594
153	107	592
154	108	591
155	108	589
156	109	587
157	110	586
158	110	585
159	111	585
160	111	582
161	112	581
162	112	579
163	113	578
164	113	576
165	114	574
166	114	573
167	115	571
168	116	572
169	117	572
170	118	572
171	118	571
172	119	569
173	119	569
174	120	567
175	121	568
176	122	567
177	122	566
178	123	567
179	124	566
180	124	564
181	125	565
182	126	564
183	126	562
184	127	562
185	128	561
186	128	560
187	129	559
188	130	561
189	131	560
190	132	559
191	132	558
192	133	556
193	133	554
194	134	553
195	134	551
196	134	550
197	135	549
198	136	548
199	136	547
200	137	546
201	137	544
202	138	543
203	138	541
204	139	540
205	139	538
206	140	537
207	140	535
208	141	534
209	141	533
210	142	532
211	143	531
212	143	530
213	144	529
214	144	529
215	145	528
216	146	527
217	146	526
218	147	525
219	147	524
220	148	524
221	149	524
222	150	523
223	150	522
224	151	521
225	152	521
226	152	520
